Row [536] (9, 17) : 0.0
Row [537] (10, 17) : 0.0
Row [538] (11, 17) : 1.0
Row [539] (12, 17) : 1.0
Row [540] (13, 17) : 1.0
Row [541] (14, 17) : 1.0
Row [542] (15, 17) : 1.0
Row [543] (16, 17) : 1.0
Row [544] (17, 17) : 1.0
Row [545] (18, 17) : 1.0
Row [546] (19, 17) : 1.0
Row [547] (20, 17) : 1.0
Row [548] (21, 17) : 1.0
Row [549] (22, 17) : 1.0
Row [550] (23, 17) : 1.0
Row [551] (24, 17) : 0.0
Row [552] (25, 17) : 0.0
Row [553] (26, 17) : 0.0
Row [554] (27, 17) : 0.0
Row [555] (28, 17) : 0.0
Row [556] (29, 17) : 0.0
Row [557] (30, 17) : 0.0
Row [558] (0, 18) : 0.0
Row [559] (1, 18) : 0.0
Row [560] (2, 18) : 0.0
Row [561] (3, 18) : 0.0
Row [562] (4, 18) : 1.0
Row [563] (5, 18) : 1.0
Row [564] (6, 18) : 0.0
Row [565] (7, 18) : 0.0
Row [566] (8, 18) : 0.0
Row [567] (9, 18) : 0.0
Row [568] (10, 18) : 0.0
Row [569] (11, 18) : 1.0
Row [570] (12, 18) : 1.0
Row [571] (13, 18) : 1.0
Row [572] (14, 18) : 1.0
Row [573] (15, 18) : 1.0
Row [574] (16, 18) : 1.0
Row [575] (17, 18) : 1.0
Row [576] (18, 18) : 1.0
Row [577] (19, 18) : 1.0
Row [578] (20, 18) : 1.0
Row [579] (21, 18) : 1.0
Row [580] (22, 18) : 1.0
Row [581] (23, 18) : 1.0
Row [582] (24, 18) : 0.0
Row [583] (25, 18) : 0.0
Row [584] (26, 18) : 0.0
Row [585] (27, 18) : 0.0
Row [586] (28, 18) : 0.0
Row [587] (29, 18) : 0.0
Row [588] (30, 18) : 0.0
Row [589] (0, 19) : 0.0
Row [590] (1, 19) : 0.0
Row [591] (2, 19) : 0.0
Row [592] (3, 19) : 0.0
Row [593] (4, 19) : 0.0
Row [594] (5, 19) : 0.0
Row [595] (6, 19) : 1.0
Row [596] (7, 19) : 0.0
Row [597] (8, 19) : 1.0
Row [598] (9, 19) : 0.0
Row [599] (10, 19) : 0.0
Row [600] (11, 19) : 1.0
Row [601] (12, 19) : 1.0
Row [602] (13, 19) : 1.0
Row [603] (14, 19) : 1.0
Row [604] (15, 19) : 1.0
Row [605] (16, 19) : 1.0
Row [606] (17, 19) : 1.0
Row [607] (18, 19) : 1.0
Row [608] (19, 19) : 1.0
Row [609] (20, 19) : 1.0
Row [610] (21, 19) : 1.0
Row [611] (22, 19) : 1.0
Row [612] (23, 19) : 1.0
Row [613] (24, 19) : 0.0
Row [614] (25, 19) : 0.0
Row [615] (26, 19) : 0.0
Row [616] (27, 19) : 0.0
Row [617] (28, 19) : 0.0
Row [618] (29, 19) : 0.0
Row [619] (30, 19) : 0.0
Row [620] (0, 20) : 0.0
Row [621] (1, 20) : 0.0
Row [622] (2, 20) : 0.0
Row [623] (3, 20) : 0.0
Row [624] (4, 20) : 0.0
Row [625] (5, 20) : 1.0
Row [626] (6, 20) : 0.0
Row [627] (7, 20) : 0.0
Row [628] (8, 20) : 1.0
Row [629] (9, 20) : 0.0
Row [630] (10, 20) : 0.0
Row [631] (11, 20) : 1.0
Row [632] (12, 20) : 1.0
Row [633] (13, 20) : 1.0
Row [634] (14, 20) : 1.0
Row [635] (15, 20) : 1.0
Row [636] (16, 20) : 1.0
Row [637] (17, 20) : 1.0
Row [638] (18, 20) : 1.0
Row [639] (19, 20) : 1.0
Row [640] (20, 20) : 1.0
Row [641] (21, 20) : 1.0
Row [642] (22, 20) : 1.0
Row [643] (23, 20) : 1.0
Row [644] (24, 20) : 0.0
Row [645] (25, 20) : 0.0
Row [646] (26, 20) : 0.0
Row [647] (27, 20) : 0.0
Row [648] (28, 20) : 0.0
Row [649] (29, 20) : 0.0
Row [650] (30, 20) : 0.0
Row [651] (0, 21) : 0.0
Row [652] (1, 21) : 0.0
Row [653] (2, 21) : 0.0
Row [654] (3, 21) : 0.0
Row [655] (4, 21) : 0.0
Row [656] (5, 21) : 0.0
Row [657] (6, 21) : 0.0
Row [658] (7, 21) : 0.0
Row [659] (8, 21) : 1.0
Row [660] (9, 21) : 1.0
Row [661] (10, 21) : 0.0
Row [662] (11, 21) : 1.0
Row [663] (12, 21) : 1.0
Row [664] (13, 21) : 1.0
Row [665] (14, 21) : 1.0
Row [666] (15, 21) : 1.0
Row [667] (16, 21) : 1.0
Row [668] (17, 21) : 1.0
Row [669] (18, 21) : 1.0
Row [670] (19, 21) : 1.0
Row [671] (20, 21) : 1.0
Row [672] (21, 21) : 1.0
Row [673] (22, 21) : 1.0
Row [674] (23, 21) : 1.0
Row [675] (24, 21) : 0.0
Row [676] (25, 21) : 0.0
Row [677] (26, 21) : 0.0
Row [678] (27, 21) : 0.0
Row [679] (28, 21) : 0.0
Row [680] (29, 21) : 0.0
Row [681] (30, 21) : 0.0
Row [682] (0, 22) : 0.0
Row [683] (1, 22) : 0.0
Row [684] (2, 22) : 0.0
Row [685] (3, 22) : 0.0
Row [686] (4, 22) : 0.0
Row [687] (5, 22) : 0.0
Row [688] (6, 22) : 0.0
Row [689] (7, 22) : 1.0
Row [690] (8, 22) : 1.0
Row [691] (9, 22) : 1.0
Row [692] (10, 22) : 1.0
Row [693] (11, 22) : 1.0
Row [694] (12, 22) : 1.0
Row [695] (13, 22) : 1.0
Row [696] (14, 22) : 1.0
Row [697] (15, 22) : 1.0
Row [698] (16, 22) : 1.0
Row [699] (17, 22) : 1.0
Row [700] (18, 22) : 1.0
Row [701] (19, 22) : 1.0
Row [702] (20, 22) : 1.0
Row [703] (21, 22) : 1.0
Row [704] (22, 22) : 1.0
Row [705] (23, 22) : 1.0
Row [706] (24, 22) : 0.0
Row [707] (25, 22) : 0.0
Row [708] (26, 22) : 0.0
Row [709] (27, 22) : 0.0
Row [710] (28, 22) : 0.0
Row [711] (29, 22) : 0.0
Row [712] (30, 22) : 0.0
Row [713] (0, 23) : 0.0
Row [714] (1, 23) : 0.0
Row [715] (2, 23) : 0.0
Row [716] (3, 23) : 0.0
Row [717] (4, 23) : 0.0
Row [718] (5, 23) : 0.0
Row [719] (6, 23) : 0.0
Row [720] (7, 23) : 1.0
Row [721] (8, 23) : 0.0
Row [722] (9, 23) : 0.0
Row [723] (10, 23) : 1.0
Row [724] (11, 23) : 1.0
Row [725] (12, 23) : 1.0
Row [726] (13, 23) : 1.0
Row [727] (14, 23) : 1.0
Row [728] (15, 23) : 1.0
Row [729] (16, 23) : 1.0
Row [730] (17, 23) : 1.0
Row [731] (18, 23) : 1.0
Row [732] (19, 23) : 1.0
Row [733] (20, 23) : 1.0
Row [734] (21, 23) : 1.0
Row [735] (22, 23) : 1.0
Row [736] (23, 23) : 1.0
Row [737] (24, 23) : 0.0
Row [738] (25, 23) : 0.0
Row [739] (26, 23) : 0.0
Row [740] (27, 23) : 0.0
Row [741] (28, 23) : 0.0
Row [742] (29, 23) : 0.0
Row [743] (30, 23) : 0.0
Row [744] (0, 24) : 1.0
Row [745] (1, 24) : 0.0
Row [746] (2, 24) : 0.0
Row [747] (3, 24) : 0.0
Row [748] (4, 24) : 0.0
Row [749] (5, 24) : 0.0
Row [750] (6, 24) : 0.0
Row [751] (7, 24) : 0.0
Row [752] (8, 24) : 0.0
Row [753] (9, 24) : 0.0
Row [754] (10, 24) : 1.0
Row [755] (11, 24) : 1.0
Row [756] (12, 24) : 1.0
Row [757] (13, 24) : 1.0
Row [758] (14, 24) : 1.0
Row [759] (15, 24) : 1.0
Row [760] (16, 24) : 1.0
Row [761] (17, 24) : 1.0
Row [762] (18, 24) : 1.0
Row [763] (19, 24) : 1.0
Row [764] (20, 24) : 1.0
Row [765] (21, 24) : 1.0
Row [766] (22, 24) : 1.0
Row [767] (23, 24) : 1.0
Row [768] (24, 24) : 0.0
Row [769] (25, 24) : 0.0
Row [770] (26, 24) : 0.0
Row [771] (27, 24) : 0.0
Row [772] (28, 24) : 0.0
Row [773] (29, 24) : 0.0
Row [774] (30, 24) : 0.0
Row [775] (0, 25) : 1.0
Row [776] (1, 25) : 0.0
Row [777] (2, 25) : 0.0
Row [778] (3, 25) : 0.0
Row [779] (4, 25) : 0.0
Row [780] (5, 25) : 0.0
Row [781] (6, 25) : 1.0
Row [782] (7, 25) : 0.0
Row [783] (8, 25) : 1.0
Row [784] (9, 25) : 0.0
Row [785] (10, 25) : 1.0
Row [786] (11, 25) : 1.0
Row [787] (12, 25) : 1.0
Row [788] (13, 25) : 1.0
Row [789] (14, 25) : 1.0
Row [790] (15, 25) : 1.0
Row [791] (16, 25) : 1.0
Row [792] (17, 25) : 1.0
Row [793] (18, 25) : 1.0
Row [794] (19, 25) : 1.0
Row [795] (20, 25) : 1.0
Row [796] (21, 25) : 1.0
Row [797] (22, 25) : 1.0
Row [798] (23, 25) : 1.0
Row [799] (24, 25) : 0.0
Row [800] (25, 25) : 0.0
Row [801] (26, 25) : 0.0
Row [802] (27, 25) : 0.0
Row [803] (28, 25) : 0.0
Row [804] (29, 25) : 0.0
Row [805] (30, 25) : 0.0
Row [806] (0, 26) : 0.0
Row [807] (1, 26) : 0.0
Row [808] (2, 26) : 0.0
Row [809] (3, 26) : 0.0
Row [810] (4, 26) : 0.0
Row [811] (5, 26) : 0.0
Row [812] (6, 26) : 0.0
Row [813] (7, 26) : 0.0
Row [814] (8, 26) : 1.0
Row [815] (9, 26) : 1.0
Row [816] (10, 26) : 1.0
Row [817] (11, 26) : 1.0
Row [818] (12, 26) : 1.0
Row [819] (13, 26) : 1.0
Row [820] (14, 26) : 1.0
Row [821] (15, 26) : 1.0
Row [822] (16, 26) : 1.0
